# pTt1,etat1,phit1,Et1,pTt2,etat2,phit2,Et2,pTh,etah,phih,Eh,ttmass,ttHmass,HT,dphi_tt,,HTb,tmass,Hmass
386.702,-1.12521,2.53439,680.226,222.38,-0.125989,0.678441,273.837,379.816,-1.61307,5.01372,997.345,666.993,1275.88,1011.55,1.85595,,739.768,170.744,113.688
324.155,-0.703369,4.5453,481.884,113.474,0.314385,3.58925,208.367,69.6265,0.74229,2.92478,158.33,521.095,721.671,726.836,0.956042,,580.103,256.89,130.466
183.044,-1.19859,0.900025,377.936,198.661,-1.40792,5.01914,457.11,175.395,-0.138893,2.45353,219.732,482.322,801.077,624.022,2.16407,,381.31,182.34,130.082
387.441,1.75979,2.90018,1171.82,234.083,0.579216,1.68459,322.451,515.891,-0.567808,5.58944,614.615,661.736,1894.31,1143.08,1.21559,,947.299,172.313,127.179
176.061,1.50388,2.01376,458.949,149.378,1.38101,5.22608,370.15,125.071,1.61866,1.31415,352.588,507.609,674.609,385.011,3.07087,,346.014,194.654,129.447
146.013,-1.59935,5.87896,414.511,141.041,0.820185,2.94279,255.694,186.286,1.03315,4.23142,322.736,633.22,969.411,663.875,2.93617,,393.619,174.228,131.185
432.31,0.463102,4.00072,506.221,304.982,-0.438248,0.841654,372.878,133.162,-0.433239,0.480956,185.297,867.028,1062.95,868.528,3.12412,,218.863,162.29,114.285
134.105,1.2556,4.51537,306.059,206.577,1.11779,1.12956,402.49,59.4702,2.41924,3.05999,355.192,496.796,662.796,427.495,2.89737,,336.577,170.076,112.845
89.6621,-1.84944,2.32882,337.294,161.782,-0.324595,0.314386,240.667,150.737,-1.43332,3.16582,359.457,449.988,683.235,555.948,2.01443,,347.309,168.81,132.95
131.305,0.108527,0.660378,203.281,127.888,1.32977,2.89251,309.423,58.9295,1.59771,1.58596,189.328,439.017,565.448,441.238,2.23213,,209.897,154.527,113.455
201.532,0.900095,1.75395,336.836,86.4973,1.93209,5.2495,342.387,120.565,2.06686,4.89224,501.786,443.536,676.184,743.634,2.78763,,514.567,173.304,132.923
46.3029,1.36012,1.97441,199.756,112.531,1.91493,4.65986,429.454,182.239,1.02769,2.01306,316.05,425.267,641.777,588.068,2.68545,,324.706,175.091,131.819
73.0167,-0.540153,4.56282,191.452,180.497,-0.11881,3.2543,240.332,243.878,0.932567,0.0289974,380.476,371.131,781.03,803.964,1.30852,,397.668,172.075,129.284
135.489,2.3401,4.58836,731.057,44.6859,2.04826,4.18247,240.929,111.518,0.894395,1.98254,195.342,401.565,623.435,611.734,0.405886,,392.635,174.739,113.232
127.977,0.82923,2.94219,245.803,81.3502,-1.94079,5.76538,337.734,170.792,-1.37365,0.536237,383.886,558.661,834.955,500.483,2.82318,,369.692,173.058,136.201
100.11,-0.122092,2.2166,188.262,351.224,0.428274,1.48063,419.645,235.953,0.175293,2.2779,276.844,404.543,587.076,1107.5,0.735963,,600.712,158.967,138.71
125.644,0.0532874,1.12991,228.904,191.511,-1.16609,3.35833,378.592,117.521,-0.164319,2.26732,174.226,522.186,675.903,826.144,2.22843,,390.053,191.221,127.151
101.988,-2.50768,3.82941,649.592,122.725,-1.97172,1.30734,472.447,111.723,-0.616733,5.63022,176.009,377.829,641.724,418.888,2.52207,,240.259,157.607,114.526
209.256,-0.155214,2.94902,272.789,159.001,0.376327,0.432827,244.155,242.374,-0.0610339,3.2146,270.221,501.288,720.993,654.015,2.51619,,536.995,171.938,118.555
225.59,-0.506319,4.26528,304.647,331.046,1.00965,0.923513,580.173,110.362,1.05329,3.77872,221.492,832.629,1025.91,642.604,2.94142,,283.999,166.49,132.547
134.055,-0.88904,5.00276,248.38,112.87,-1.69009,5.32672,356.037,256.326,1.80255,2.43765,808.697,346.672,1371.01,628.7,0.323959,,445.757,159.243,128.326
164.405,0.928204,0.627954,295.24,91.3376,0.290942,3.78571,187.138,88.2409,1.5895,2.67474,253.976,431.705,606.133,466.945,3.12543,,231.142,171.304,117.332
290.14,0.208225,2.67189,343.784,140.322,0.992965,1.22268,260.287,515.201,-0.0423154,2.85033,534.241,448.185,767.852,1285.54,1.44921,,1145.33,174.078,139.665
272.833,-0.906686,0.450668,429.441,341.221,-0.860507,5.05513,504.101,273.034,-0.642737,0.0702794,351.892,569.031,758.76,1003.56,1.67872,,466.474,173.406,118.331
100.208,-0.991951,3.82422,220.422,353.119,0.435893,2.55715,423.271,85.6303,1.58083,2.68146,257.304,506.605,723.246,977.265,1.26707,,482.581,158.008,138.498
227.522,-1.14074,3.80134,461.65,66.4617,1.42057,1.90106,228.509,160.891,0.518745,2.66894,229.403,627.527,846.329,811.862,1.90028,,285.087,243.313,138.297
97.5984,-1.59109,2.17555,310.397,60.4661,-1.71101,5.42228,242.736,121.047,-0.875408,4.50819,208.447,388.914,556.452,462.682,3.03645,,303.173,184.651,119.964
173.127,0.70206,4.04818,263.275,98.7845,-0.706577,0.718583,216.154,62.2766,0.569672,6.11602,149.128,469.664,615.5,392.402,2.95358,,195.653,148.24,130.23
220.642,-0.890411,0.405606,356.461,223.237,1.91221,5.33822,792.858,484.756,-0.369388,2.5092,535.497,967.048,1639.44,977.669,1.35057,,654.438,168.647,134.981
111.54,-2.76686,3.44682,906.654,96.7785,-2.64691,0.48869,705.011,56.4693,-2.96135,1.0595,562.236,391.996,530.704,299.879,2.95813,,299.879,169.16,129.708
123.962,1.7017,3.4056,429.797,187.854,1.80196,0.819564,610.351,61.945,1.03216,4.92845,147.909,540.548,700.478,458.009,2.58603,,340.997,247.814,110.804
115.112,1.12092,1.20357,260.797,354.253,0.329969,2.68528,411.303,203.185,1.67645,5.06639,577.966,478.626,934.462,774.501,1.48171,,511.142,172.81,134.212
357.651,1.16638,2.88798,653.05,330.272,-0.436551,5.75947,463.4,112.449,-2.81019,1.22592,943.981,1049.07,1982.2,657.717,2.87149,,583.501,172.712,110.889
183.553,-0.242025,2.75448,262.346,208.414,-1.4058,0.542077,482.498,53.5204,-1.06141,6.05422,140.823,570.971,700.722,665.969,2.2124,,287.991,181.993,111.042
176.211,1.0882,3.96454,336.719,27.0474,2.71079,3.55884,266.877,140.139,1.6865,4.08892,412.853,367.519,526.944,662.76,0.405693,,494.951,168.968,131.383
372.29,0.115198,0.538486,415.814,246.203,-0.925258,3.25127,399.638,398.714,-0.396758,4.35615,448.197,764.604,1184.68,1189.91,2.71279,,921.683,180.15,124.665
119.234,0.514536,1.18053,217.024,84.5309,-0.0196724,5.86952,202.381,51.2625,1.30458,5.81802,152.364,388.732,522.661,458.975,1.5942,,347.491,169.631,113.693
94.0516,-1.78419,0.63396,330.877,123.213,-1.04922,3.17626,267.88,135.359,-1.04097,5.7892,254.353,414.421,607.751,606.608,2.5423,,316.285,163.031,135.011
322.021,-0.373846,1.53653,371.838,335.641,0.820847,5.43393,494.457,73.5448,-1.75145,1.97767,256.186,810.837,1095.07,969.225,2.38578,,494.398,139.232,134.079
245.951,1.05603,5.61406,431.984,270.203,-0.0871672,4.68789,321.354,388.488,-0.318797,1.83678,429.854,521.221,1168.15,795.543,0.92617,,628.636,171.869,134.113
89.806,-2.33042,6.01687,496.468,124.195,-2.32861,4.25472,667.479,74.4848,-2.12682,6.23514,341.898,387.814,535.37,381.708,1.76215,,259.307,171.053,128.494
70.0606,0.104757,2.99816,207.162,259.84,0.794936,1.32679,381.75,166.273,-0.689819,4.75431,250.051,471.361,825.842,709.252,1.67137,,534.984,194.817,139.641
32.7165,2.79581,2.37462,320.785,211.551,1.48221,0.678318,509.24,148.309,-1.99816,3.71981,569.173,377.898,1386.53,419.266,1.6963,,281.613,174.946,117.186
31.5007,2.45676,4.91345,246.667,104.601,1.07556,0.629193,213.67,116.367,-2.11048,4.71057,504.058,318.834,943.618,640.037,1.99893,,414.781,163.032,129.296
